year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
2003,2004,76,FOREIGN LANGUAGE FILM,INTERNATIONAL FEATURE FILM,Sweden,Evil,False
2003,2004,76,MAKEUP,MAKEUP AND HAIRSTYLING,Richard Taylor/Peter King,The Lord of the Rings: The Return of the King,True
2003,2004,76,MUSIC (Original Score),MUSIC (Original Score),Gabriel Yared,Cold Mountain,False
2003,2004,76,MUSIC (Original Score),MUSIC (Original Score),Howard Shore,The Lord of the Rings: The Return of the King,True
2003,2004,76,MUSIC (Original Song),MUSIC (Original Song),Fran Walsh/Howard Shore/Annie Lennox,The Lord of the Rings: The Return of the King,True
2003,2004,76,MUSIC (Original Song),MUSIC (Original Song),T Bone Burnett/Elvis Costello,Cold Mountain,False
2003,2004,76,MUSIC (Original Song),MUSIC (Original Song),Sting,Cold Mountain,False
2003,2004,76,BEST PICTURE,BEST PICTURE,Barrie M. Osborne/Peter Jackson/Fran Walsh,The Lord of the Rings: The Return of the King,True
2003,2004,76,BEST PICTURE,BEST PICTURE,Robert Lorenz/Judie G. Hoyt/Clint Eastwood,Mystic River,False
2003,2004,76,BEST PICTURE,BEST PICTURE,Kathleen Kennedy/Frank Marshall/Gary Ross,Seabiscuit,False
2003,2004,76,SOUND MIXING,SOUND MIXING,Christopher Boyes/Michael Semanick/Michael Hedges/Hammond Peek,The Lord of the Rings: The Return of the King,True
2003,2004,76,SOUND MIXING,SOUND MIXING,Andy Nelson/Anna Behlmer/Tod A. Maitland,Seabiscuit,False
2003,2004,76,VISUAL EFFECTS,VISUAL EFFECTS,Jim Rygiel/Joe Letteri/Randall William Cook/Alex Funke,The Lord of the Rings: The Return of the King,True
2003,2004,76,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Braulio Mantovani,City of God,False
2003,2004,76,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Fran Walsh/Philippa Boyens/Peter Jackson,The Lord of the Rings: The Return of the King,True
2003,2004,76,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Brian Helgeland,Mystic River,False
2003,2004,76,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Gary Ross,Seabiscuit,False
2004,2005,77,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Clint Eastwood,Million Dollar Baby,False
2004,2005,77,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Jamie Foxx,Ray,True
2004,2005,77,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Jamie Foxx,Collateral,False
2004,2005,77,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Morgan Freeman,Million Dollar Baby,True
2004,2005,77,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Hilary Swank,Million Dollar Baby,True
2004,2005,77,ART DIRECTION,ART DIRECTION,Anthony Pratt/Celia Bobak,The Phantom of the Opera,False
2004,2005,77,CINEMATOGRAPHY,CINEMATOGRAPHY,John Mathieson,The Phantom of the Opera,False
2004,2005,77,COSTUME DESIGN,COSTUME DESIGN,Sharen Davis,Ray,False
2004,2005,77,COSTUME DESIGN,COSTUME DESIGN,Bob Ringwood,Troy,False
2004,2005,77,DIRECTING,DIRECTING,Clint Eastwood,Million Dollar Baby,True
2004,2005,77,DIRECTING,DIRECTING,Taylor Hackford,Ray,False
2004,2005,77,FILM EDITING,FILM EDITING,Jim Miller/Paul Rubell,Collateral,False
2004,2005,77,FILM EDITING,FILM EDITING,Joel Cox,Million Dollar Baby,False
2004,2005,77,FILM EDITING,FILM EDITING,Paul Hirsch,Ray,False
2004,2005,77,MUSIC (Original Song),MUSIC (Original Song),Glen Ballard/Alan Silvestri,The Polar Express,False
2004,2005,77,MUSIC (Original Song),MUSIC (Original Song),Andrew Lloyd Webber/Charles Hart,The Phantom of the Opera,False
2004,2005,77,BEST PICTURE,BEST PICTURE,Clint Eastwood/Albert S. Ruddy/Tom Rosenberg,Million Dollar Baby,True
2004,2005,77,BEST PICTURE,BEST PICTURE,Taylor Hackford/Stuart Benjamin/Howard Baldwin,Ray,False
2004,2005,77,SOUND EDITING,SOUND EDITING,Randy Thom/Dennis Leonard,The Polar Express,False
2004,2005,77,SOUND MIXING,SOUND MIXING,Randy Thom/Tom Johnson/Dennis Sands/William B. Kaplan,The Polar Express,False
2004,2005,77,SOUND MIXING,SOUND MIXING,Scott Millan/Greg Orloff/Bob Beemer/Steve Cantamessa,Ray,True
2004,2005,77,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Paul Haggis,Million Dollar Baby,False
2005,2006,78,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Terrence Howard,Hustle & Flow,False
2005,2006,78,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Matt Dillon,Crash,False
2005,2006,78,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Amy Adams,Junebug,False
2005,2006,78,ART DIRECTION,ART DIRECTION,John Myhre/Gretchen Rau,Memoirs of a Geisha,True
2005,2006,78,CINEMATOGRAPHY,CINEMATOGRAPHY,Dion Beebe,Memoirs of a Geisha,True
2005,2006,78,COSTUME DESIGN,COSTUME DESIGN,Gabriella Pescucci,Charlie and the Chocolate Factory,False
2005,2006,78,COSTUME DESIGN,COSTUME DESIGN,Colleen Atwood,Memoirs of a Geisha,True
2005,2006,78,DIRECTING,DIRECTING,Paul Haggis,Crash,False
2005,2006,78,FILM EDITING,FILM EDITING,Hughes Winborne,Crash,True
2005,2006,78,MUSIC (Original Score),MUSIC (Original Score),John Williams,Memoirs of a Geisha,False
2005,2006,78,MUSIC (Original Song),MUSIC (Original Song),"Kathleen ""Bird"" York/Michael Becker",Crash,False
2005,2006,78,MUSIC (Original Song),MUSIC (Original Song),Jordan Houston/Cedric Coleman/Paul Beauregard,Hustle & Flow,True
2005,2006,78,BEST PICTURE,BEST PICTURE,Paul Haggis/Cathy Schulman,Crash,True
2005,2006,78,SHORT FILM (Animated),SHORT FILM (Animated),Shane Acker,9,False
2005,2006,78,SOUND EDITING,SOUND EDITING,Wylie Stateman,Memoirs of a Geisha,False
2005,2006,78,SOUND MIXING,SOUND MIXING,Kevin O'Connell/Greg P. Russell/Rick Kline/John Pritchett,Memoirs of a Geisha,False
2005,2006,78,WRITING (Original Screenplay),WRITING (Original Screenplay),Paul Haggis/Bobby Moresco,Crash,True
2005,2006,78,WRITING (Original Screenplay),WRITING (Original Screenplay),Noah Baumbach,The Squid and the Whale,False
2006,2007,79,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Will Smith,The Pursuit of Happyness,False
2006,2007,79,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Mark Wahlberg,The Departed,False
2006,2007,79,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Helen Mirren,The Queen,True
2006,2007,79,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Adriana Barraza,Babel,False
2006,2007,79,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Rinko Kikuchi,Babel,False
2006,2007,79,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,Gil Kenan,Monster House,False
2006,2007,79,ART DIRECTION,ART DIRECTION,Eugenio Caballero/Pilar Revuelta,Pan's Labyrinth,True
